new entry "Target_OdinBSS_REDIRECTION_DESIGNATE"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "No"
data "Ability" "Summoning"
data "Tier" "None"
data "ActionPoints" "0"
data "Cooldown" "-1"
data "SkillProperties" "OdinBSS_REDIRECTION_EFFECT,100,-1"
data "TargetRadius" "13"
data "AddWeaponRange" "No"
data "Requirements" "Combat"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "TargetConditions" "MySummon;Ally;HasStatus:OdinBSS_BOON_REDIRECTION"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "OBBSS_Skill_DesignateRedirection"
data "DisplayName" "Target_OdinBSS_REDIRECTION_DESIGNATE_DisplayName"
data "DisplayNameRef" "Designate Redirection"
data "Description" "Target_OdinBSS_REDIRECTION_DESIGNATE_Description"
data "DescriptionRef" "Target one of your <font color='#7F25D4'>Summons</font> which currently has the <font color='#7F25D4'>Boon of Redirection</font> status. <br><br>Whenever you would take damage, redirect <font color='#40b606'>30% of that damage</font> to the <font color='#7F25D4'>Summon</font> instead."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Divine_Prepare_Divine_Farsight_Root_01,KeepRot,Detach:Dummy_Root;RS3_FX_Skills_Divine_Prepare_Divine_Farsight_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Divine_Prepare_Divine_Hand_01:Dummy_R_HandFX:hand01;RS3_FX_Skills_Divine_Prepare_Divine_Hand_02:Dummy_L_HandFX:hand02"
data "CastAnimation" "skill_cast_aoe_divine_01_cast"
data "CastSelfAnimation" "skill_cast_aoe_divine_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Divine_Cast_Aoe_Farsight_Hand_01:Dummy_L_HandFX:cast"
data "TargetEffect" "RS3_FX_Skills_Divine_Farsight_Cast_Root_01:root:cast"
data "CycleConditions" "MySummon;Ally;HasStatus:OdinBSS_BOON_REDIRECTION"

